R	13	18944359	18944479
R	17	22375472	22375592
R	20	64286041	64286161
R	17	619167	619287
R	2	85674199	85674319
R	8	1187669	1187789
R	9	33524224	33524344
R	1	228612077	228612197
R	3	125767978	125768098
R	12	132036240	132036360
R	16	35750884	35751004
R	12	34335578	34335698
R	13	21628855	21628975
R	5	141225323	141225443
R	9	92808317	92808437
R	9	76528775	76528895
R	1	47416582	47416702
R	5	178729486	178729606
R	8	144808052	144808172
R	16	55748897	55749017
R	8	74771846	74771966
R	11	64778054	64778174
R	12	38158126	38158246
R	2	132647409	132647529
R	3	125916753	125916873
R	1	152313302	152313422
R	2	95526530	95526650
R	8	143250137	143250257
R	2	206159949	206160069
R	5	141403166	141403286
R	8	68842769	68842889
R	9	27610748	27610868
R	11	71607937	71608057
R	2	131646871	131646991
R	2	131658144	131658264
R	20	30294065	30294185
R	1	42718907	42719027
R	14	18646210	18646330
R	2	113499278	113499398
R	3	169709247	169709367
R	4	6909708	6909828
R	8	7355103	7355223
R	9	63816818	63816938
R	1	211207019	211207139
R	16	3496565	3496685
R	17	64919352	64919472
R	19	2750877	2750997
R	2	72149181	72149301
R	7	159844	159964
R	1	2907851	2907971
R	17	41625621	41625741
R	5	1634906	1635026
R	5	177939557	177939677
R	7	64182696	64182816
R	9	135487121	135487241
R	1	110211885	110212005
R	10	42753730	42753850
R	13	99983038	99983158
R	16	4615087	4615207
R	17	16666836	16666956
R	17	38482586	38482706
R	17	41613355	41613475
R	19	20665522	20665642
R	20	64327850	64327970
R	21	42025093	42025213
R	4	185471074	185471194
R	5	2391887	2392007
R	7	157875827	157875947
R	X	103377084	103377204
R	X	135032493	135032613
R	1	1489830	1489950
R	1	201115008	201115128
R	10	16919748	16919868
R	10	42367702	42367822
R	11	14969807	14969927
R	12	122022068	122022188
R	13	22925966	22926086
R	14	84090494	84090614
R	15	34495184	34495304
R	15	40489881	40490001
R	15	72319683	72319803
R	15	78800357	78800477
R	16	3142445	3142565
R	16	16366571	16366691
R	16	81096083	81096203
R	17	45451109	45451229
R	19	16877111	16877231
R	19	37334707	37334827
R	19	52946731	52946851
R	2	132252566	132252686
R	3	49685814	49685934
R	3	51715985	51716105
R	4	188233789	188233909
R	5	146340288	146340408
R	7	5248346	5248466
R	7	5289649	5289769
R	7	5307973	5308093
R	7	72972773	72972893
R	7	73303556	73303676
R	7	141701321	141701441
R	9	136545945	136546065
R	X	104112591	104112711
R	1	1462039	1462159
R	1	32870840	32870960
R	1	39492284	39492404
R	1	45509050	45509170
R	1	112794148	112794268
R	1	143667730	143667850
R	1	227925285	227925405
R	1	231422053	231422173
R	10	42873037	42873157
R	10	43679668	43679788
R	10	131311269	131311389
R	10	133459853	133459973
R	11	68308321	68308441
R	11	68380614	68380734
R	12	77194	77314
R	12	121827889	121828009
R	13	24745898	24746018
R	14	58828323	58828443
R	14	60565312	60565432
R	14	99603620	99603740
R	15	74752151	74752271
R	15	89776603	89776723
R	16	823743	823863
R	16	88120552	88120672
R	17	1152688	1152808
R	17	82334217	82334337
R	19	2617514	2617634
R	19	3750719	3750839
R	19	7787471	7787591
R	19	50358661	50358781
R	19	54465574	54465694
R	19	55602610	55602730
R	2	87516692	87516812
R	2	161308426	161308546
R	2	240095664	240095784
R	20	21396107	21396227
R	20	64029529	64029649
R	22	21045758	21045878
R	22	38081116	38081236
R	22	42500102	42500222
R	22	46214799	46214919
R	3	44578491	44578611
R	4	3232833	3232953
R	4	84493448	84493568
R	4	143379529	143379649
R	5	135034067	135034187
R	6	3054553	3054673
R	6	28796110	28796230
